species,rangesize,area_total,protected_range,prot_perc
Pristimantis ventrigranulosus,13038,230567,0,0
Kerodon acrobata,6089,230567,3,0.0005
Amphisbaena sanctaeritae,602,230567,1,0.0017
Scinax goya*,368,230567,1,0.0027
Gymnodactylus guttulatus,362,230567,1,0.0028
Ischnocnema penaxavantinho,45228,230567,175,0.0039
Bokermannohyla sazimai,9364,230567,66,0.007
Heterodactylus lundii,34452,230567,252,0.0073
Phalotris concolor,17642,230567,154,0.0087
Hylaeamys acritus,63007,230567,728,0.0116
Philodryas mattogrossensis,724317,230567,9757,0.0135
Trilepida koppesi,558325,230567,7772,0.0139
Polystictus superciliaris,442086,230567,6207,0.014
Hydropsalis candicans,1108625,230567,16279,0.0147
Phalotris matogrossensis,841607,230567,12616,0.015
Apostolepis barrioi*,535264,230567,8519,0.0159
Phalotris mertensi,634842,230567,10534,0.0166
Pseudopaludicola facureae*,64702,230567,1099,0.017
Embernagra longicauda,218284,230567,3837,0.0176
Xenodon matogrossensis,213601,230567,4011,0.0188
Micrurus tricolor,197935,230567,3948,0.0199
Bachia bresslaui,535404,230567,11148,0.0208
Leptodactylus cunicularius,42533,230567,916,0.0215
Proceratophrys moratoi,226403,230567,4859,0.0215
Nystalus striatipectus,263013,230567,5695,0.0217
Amphisbaena anaemariae,346771,230567,7858,0.0227
Philodryas livida,388737,230567,9004,0.0232
Pseudopaludicola coracoralinae*,731,230567,17,0.0233
Dendropsophus jimi,828098,230567,19594,0.0237
Rhinella sebbeni*,14562,230567,353,0.0242
Elachistocleis matogrosso,158207,230567,3890,0.0246
Chironius brazili*,1108760,230567,27653,0.0249
Proceratophrys dibernardoi,66603,230567,1657,0.0249
Rhachidelus brazili,1521523,230567,37995,0.025
Amphisbaena cuiabana,30163,230567,780,0.0259
Dendropsophus elianeae,980367,230567,25557,0.0261
Nothura minor,1222422,230567,31913,0.0261
Bothrops itapetiningae,675437,230567,18027,0.0267
Helicops gomesi*,413583,230567,11035,0.0267
Scinax rogerioi,153012,230567,4176,0.0273
Apostolepis assimilis*,1601004,230567,44300,0.0277
Oreobates remotus,933,230567,26,0.0279
Oecomys cleberi,833008,230567,23707,0.0285
Scinax maracaya,9703,230567,278,0.0287
Kunsia tomentosus,3560689,230567,102588,0.0288
Pithecopus ayeaye,72110,230567,2096,0.0291
Eurolophosaurus nanuzae,21992,230567,646,0.0294
Thamnodynastes rutilus,647749,230567,19320,0.0298
Amphisbaena leeseri,141174,230567,4241,0.03
Simophis rhinostoma,1421441,230567,42690,0.03
Scinax cabralensis,725,230567,22,0.0303
Ameerega berohoka,110480,230567,3360,0.0304
Juscelinomys huanchacae,1201,230567,37,0.0308
Thylamys velutinus,472911,230567,14707,0.0311
Alectrurus tricolor,2797153,230567,89376,0.032
Tropidurus montanus,84788,230567,2913,0.0344
Odontophrynus cultripes,602779,230567,20881,0.0346
Leptodactylus kilombo*,32359,230567,1147,0.0354
Lonchophylla bokermanni,33611,230567,1203,0.0358
Scinax haddadorum*,541,230567,20,0.037
Syndactyla dimidiata,1196783,230567,44423,0.0371
Taoniscus nanus,1308726,230567,50640,0.0387
Clibanornis rectirostris,1678654,230567,66182,0.0394
Amphisbaena carli,1478,230567,59,0.0399
Arremon flavirostris,1473172,230567,59309,0.0403
Pristimantis dundeei,113765,230567,4620,0.0406
Bothrops pauloensis,1776108,230567,72876,0.041
Thalpomys lasiotis,194904,230567,8070,0.0414
Poospiza cinerea,1081620,230567,45942,0.0425
Pithecopus megacephalus,53181,230567,2270,0.0427
Clyomys laticeps,1373496,230567,59871,0.0436
Odontophrynus juquinha*,43994,230567,1941,0.0441
Proceratophrys vielliardi,21126,230567,939,0.0444
Rhinella rubescens,724425,230567,32295,0.0446
Phyllomys brasiliensis,2411,230567,108,0.0448
Physalaemus marmoratus,1228199,230567,55043,0.0448
Uropelia campestris,4642794,230567,210105,0.0453
Scytalopus novacapitalis,89692,230567,4082,0.0455
Sporophila nigrorufa,107707,230567,4910,0.0456
Pithecopus centralis,105166,230567,4816,0.0458
Monodelphis kunsi,3347924,230567,154887,0.0463
Atractus albuquerquei,2711519,230567,128225,0.0473
Bokermannohyla sagarana,63,230567,3,0.0476
Epicrates crassus,4378535,230567,208217,0.0476
Laterallus xenopterus,835712,230567,40245,0.0482
Coryphaspiza melanotis,3576856,230567,172959,0.0484
Thrichomys apereoides,362360,230567,17928,0.0495
Tropidurus itambere,1456252,230567,72325,0.0497
Colobosaura modesta,3352590,230567,167710,0.05
Saltatricula atricollis,4504410,230567,227385,0.0505
Callithrix penicillata,1301874,230567,67708,0.052
Euscarthmus rufomarginatus,3904841,230567,209437,0.0536
Atractus edioi,370,230567,20,0.0541
Phalotris lativittatus,122868,230567,6678,0.0544
Drymoluber brazili,3738607,230567,204086,0.0546
Scinax centralis,11094,230567,610,0.055
Stenocercus sinesaccus,93473,230567,5156,0.0552
Neothraupis fasciata,4017704,230567,222565,0.0554
Proceratophrys huntingtoni,1102,230567,61,0.0554
Pyrrhura pfrimeri,13772,230567,763,0.0554
Amphisbaena saxosa,375,230567,21,0.056
Cyanocorax cristatellus,4033939,230567,228030,0.0565
Apostolepis goiasensis,470835,230567,26796,0.0569
Boana lundii,988264,230567,56454,0.0571
Carterodon sulcidens,1099681,230567,63189,0.0575
Manciola guaporicola,1791497,230567,104157,0.0581
Oxymycterus delator,2415453,230567,141230,0.0585
Tropidurus chromatops,1787,230567,105,0.0588
Leptodactylus furnarius,1856186,230567,111389,0.06
Melanopareia torquata,3451937,230567,210944,0.0611
Geositta poeciloptera,1987612,230567,123541,0.0622
Bokermannohyla saxicola,33627,230567,2096,0.0623
Rhipidomys macrurus,1976730,230567,124292,0.0629
Porphyrospiza caerulescens,3175252,230567,200229,0.0631
Charitospiza eucosma,3270074,230567,211271,0.0646
Phalotris nasutus,1511881,230567,98562,0.0652
Augastes scutatus,53428,230567,3524,0.066
Boana cipoensis,7857,230567,519,0.0661
Rhachisaurus brachylepis,28584,230567,1892,0.0662
Apostolepis albicollaris,52589,230567,3513,0.0668
Bothrops moojeni,2686680,230567,179352,0.0668
Scinax canastrensis,29866,230567,1994,0.0668
Hoplocercus spinosus,2749462,230567,183954,0.0669
Kentropyx paulensis,892348,230567,59726,0.0669
Anolis meridionalis,2579006,230567,172816,0.067
Tropidurus oreadicus,2773708,230567,187639,0.0676
Alipiopsitta xanthops,2950314,230567,200273,0.0679
Cerradomys scotti,2281453,230567,157337,0.069
Phaethornis nattereri,2109777,230567,146690,0.0695
Amphisbaena silvestrii,895546,230567,62319,0.0696
Antilophia galeata,2692714,230567,187886,0.0698
Lycalopex vetulus,2865103,230567,200744,0.0701
Pithecopus azureus,2392121,230567,169712,0.0709
Myiothlypis leucophrys,1694948,230567,120425,0.071
Lygophis paucidens,2337650,230567,166426,0.0712
Tupinambis matipu*,701967,230567,49950,0.0712
Chiasmocleis albopunctata,2062226,230567,147542,0.0715
Rhinella scitula,77788,230567,5631,0.0724
Phylloscartes roquettei,240589,230567,17475,0.0726
Physalaemus deimaticus,2352,230567,171,0.0727
Xenodon nattereri,1984447,230567,145319,0.0732
Crossodactylus trachystomus,33530,230567,2464,0.0735
Asthenes luizae,24900,230567,1834,0.0737
Bothrops marmoratus,383515,230567,28459,0.0742
Bokermannohyla sapiranga,32737,230567,2447,0.0747
Rhinella cerradensis,611704,230567,46338,0.0758
Salvator duseni,440647,230567,33512,0.0761
Physalaemus nattereri,1987481,230567,151514,0.0762
Erythrolamprus maryellenae,1096089,230567,83805,0.0765
Kentropyx vanzoi,668452,230567,51172,0.0766
Scinax constrictus,1067899,230567,81882,0.0767
Physalaemus centralis,1826841,230567,141655,0.0775
Leptodactylus sertanejo,1955949,230567,151689,0.0776
Dendropsophus rubicundulus,1479361,230567,115024,0.0778
Pseudopaludicola ternetzi*,1068878,230567,83148,0.0778
Suiriri affinis,2385983,230567,185840,0.0779
Herpsilochmus longirostris,2359869,230567,185282,0.0785
Atractus pantostictus*,940260,230567,74545,0.0793
Bokermannohyla alvarengai,28510,230567,2296,0.0805
Calassomys apicalis,584,230567,47,0.0805
Leptodactylus pustulatus,1805011,230567,146166,0.081
Ameerega flavopicta,868222,230567,70605,0.0813
Apostolepis flavotorquata,1256330,230567,103002,0.082
Phyllomyias reiseri,750210,230567,62055,0.0827
Apostolepis nelsonjorgei,73372,230567,6217,0.0847
Micrablepharus atticolus,1165723,230567,98794,0.0847
Rhinella ocellata,1659819,230567,143039,0.0862
Phalotris multipunctatus,1055,230567,91,0.0863
Ctenomys nattereri,195476,230567,17372,0.0889
Knipolegus franciscanus,250655,230567,22407,0.0894
Leptodactylus brevipes*,207024,230567,18591,0.0898
Lonchophylla dekeyseri,1888936,230567,170047,0.09
Thoropa megatympanum,35245,230567,3306,0.0938
Dendropsophus cruzi,944655,230567,89095,0.0943
Epictia clinorostris*,28685,230567,2706,0.0943
Trilepida brasiliensis,1503963,230567,143818,0.0956
Penelope ochrogaster,1054646,230567,100929,0.0957
Apostolepis striata,371,230567,36,0.097
Leptodactylus camaquara,12495,230567,1213,0.0971
Amphisbaena talisiae,103006,230567,10300,0.1
Cerradomys marinhus,291448,230567,29299,0.1005
Tupinambis quadrilineatus,1572963,230567,158980,0.1011
Adenomera cotuba*,206241,230567,21007,0.1019
Conothraupis mesoleuca,144734,230567,15264,0.1055
Nyctiprogne vielliardi,47687,230567,5037,0.1056
Barycholos ternetzi,724474,230567,76665,0.1058
Scinax curicica,19813,230567,2096,0.1058
Galea flavidens,1324021,230567,142442,0.1076
Phasmahyla jandaia,11924,230567,1289,0.1081
Apostolepis longicaudata,27040,230567,2931,0.1084
Thrichomys pachyurus,762797,230567,83074,0.1089
Scinax machadoi,25000,230567,2730,0.1092
Coleodactylus brachystoma,477642,230567,52935,0.1108
Scinax tigrinus,44500,230567,4945,0.1111
Trilepida jani,19461,230567,2210,0.1136
Apostolepis sanctaeritae*,673293,230567,77435,0.115
Phalotris labiomaculatus,49626,230567,5948,0.1199
Columbina cyanopis,2172,230567,264,0.1215
Crossodactylus franciscanus*,714,230567,91,0.1275
Celeus obrieni,825273,230567,105706,0.1281
Atractus stygius*,115675,230567,14846,0.1283
Euryoryzomys lamia,45977,230567,5905,0.1284
Adenomera saci,731210,230567,95256,0.1303
Holochilus sciureus,668490,230567,87079,0.1303
Ameivula jalapensis,745,230567,98,0.1315
Micrurus brasiliensis,626550,230567,82892,0.1323
Boana buriti,15413,230567,2060,0.1337
Alopoglossus collii*,1112,230567,154,0.1385
Trilepida fuliginosa,453998,230567,63614,0.1401
Cercomacra ferdinandi,269082,230567,37931,0.141
Thalpomys cerradensis,957821,230567,135433,0.1414
Dendropsophus anataliasiasi,400550,230567,57269,0.143
Chiasmocleis centralis,368,230567,53,0.144
Ameerega picta,5921,230567,858,0.1449
Gymnodactylus amarali,609460,230567,89717,0.1472
Pithecopus oreades,82568,230567,12897,0.1562
Pristimantis moa*,29032,230567,4589,0.1581
Bokermannohyla nanuzae,9366,230567,1490,0.1591
Pseudis tocantins,304291,230567,48834,0.1605
Physalaemus claptoni*,360,230567,58,0.1611
Rhinella veredas,86363,230567,14302,0.1656
Proceratophrys goyana,100782,230567,16712,0.1658
Boana caiapo*,262878,230567,44272,0.1684
Dendropsophus tritaeniatus,1460,230567,247,0.1692
Pithecopus araguaius*,1108,230567,194,0.1751
Oligoryzomys moojeni,297359,230567,53647,0.1804
Ameiva parecis,372,230567,68,0.1828
Trachycephalus mambaiensis,81510,230567,15036,0.1845
Ctenomys bicolor,108826,230567,20464,0.188
Oreobates heterodactylus,16557,230567,3114,0.1881
Rhinella inopina,54769,230567,10364,0.1892
Allobates goianus,16216,230567,3073,0.1895
Scinax pinimus,719,230567,138,0.1919
Scinax skaios,38789,230567,7653,0.1973
Amphisbaena kraoh,14095,230567,2813,0.1996
Proceratophrys branti,151905,230567,30986,0.204
Phyllomys centralis,1334,230567,277,0.2076
Apostolepis tertulianobeui*,1453,230567,302,0.2078
Calomys tocantinsi,155446,230567,32410,0.2085
Boana goiana,35423,230567,7610,0.2148
Helicops phantasma*,88053,230567,19132,0.2173
Proceratophrys bagnoi,926,230567,207,0.2235
Akodon lindberghi,2844,230567,636,0.2236
Rhipidomys ipukensis,34446,230567,7702,0.2236
Apostolepis polylepis,108297,230567,24368,0.225
Proceratophrys salvatori,28016,230567,6365,0.2272
Apostolepis cerradoensis,370,230567,86,0.2324
Physalaemus evangelistai,5445,230567,1282,0.2354
Apostolepis adhara*,371,230567,89,0.2399
Vanzosaura savanicola*,112323,230567,27150,0.2417
Stenocercus albolineatus*,138504,230567,34088,0.2461
Stenocercus quinarius,48388,230567,12278,0.2537
Oreobates antrum*,1286,230567,329,0.2558
Phalotris cerradensis*,368,230567,97,0.2636
Ameivula xacriaba*,42875,230567,11438,0.2668
Bachia geralista,26232,230567,7192,0.2742
Proceratophrys cururu,2291,230567,635,0.2772
Bachia didactyla,6466,230567,1898,0.2935
Apostolepis intermedia,1425,230567,442,0.3102
Oligoryzomys rupestris,1470,230567,481,0.3272
Boana botumirim,364,230567,121,0.3324
Ameivula cipoensis*,1157,230567,393,0.3397
Apostolepis vittata,1474,230567,509,0.3453
Cinclodes espinhacensis,2941,230567,1019,0.3465
Oxymycterus itapeby,1045,230567,363,0.3474
Aplastodiscus lutzorum*,20219,230567,7145,0.3534
Apostolepis phillipsae*,736,230567,262,0.356
Apostolepis christineae,367,230567,134,0.3651
Paroaria baeri,83135,230567,30495,0.3668
Cerradomys akroai,748,230567,275,0.3676
Liotyphlops taylori*,367,230567,135,0.3678
Scinax rossaferesae*,4627,230567,1733,0.3745
Physalaemus atim*,583,230567,239,0.4099
Bokermannohyla izecksohni*,351,230567,144,0.4103
Ameivula mumbuca,747,230567,308,0.4123
Psilops seductus*,737,230567,314,0.4261
Bokermannohyla pseudopseudis,19647,230567,8516,0.4335
Hylodes otavioi,375,230567,167,0.4453
Synallaxis simoni,61720,230567,27760,0.4498
Boana jaguariaivensis,1041,230567,473,0.4544
Ameiva jacuba,1264,230567,577,0.4565
Gyldenstolpia planaltensis,1104,230567,554,0.5018
Trinomys moojeni,1403,230567,726,0.5175
Odontophrynus monachus,358,230567,186,0.5196
Pseudopaludicola jazmynmcdonaldae*,409,230567,214,0.5232
Pseudopaludicola mineira*,722,230567,403,0.5582
Juscelinomys candango,366,230567,213,0.582
Bokermannohyla ibitiguara,1499,230567,891,0.5944
Atractus spinalis,763,230567,457,0.599
Scinax pombali,891,230567,564,0.633
Enyalius capetinga*,2536,230567,1608,0.6341
Lysapsus caraya,36218,230567,25099,0.693
Akodon kadiweu,356,230567,253,0.7107
Amphisbaena crisae,1479,230567,1055,0.7133
Placosoma cipoense,359,230567,263,0.7326
Siagonodon acutirostris,1494,230567,1114,0.7456
Ameerega braccata,600,230567,457,0.7617
Microakodontomys transitorius,733,230567,596,0.8131
Stenocercus canastra*,690,230567,570,0.8261
Leposternon maximus,853,230567,745,0.8734
Boana ericae,963,230567,943,0.9792
Amphisbaena acrobeles,374,230567,373,0.9973
Amphisbaena neglecta,367,230567,366,0.9973
Apostolepis lineata,367,230567,366,0.9973
Proceratophrys rotundipalpebra,376,230567,375,0.9973
Scinax rupestris*,816,230567,815,0.9988
Bachia oxyrhina,309,230567,309,1
Leptodactylus tapiti,369,230567,369,1