Name,Designation,Year,Richness,Area (km)
Parque Nacional Da Chapada Dos Veadeiros,Park,1961,108,2405.85
Parque Nacional Das Emas,Park,1961,99,1327.85
Parque Nacional Grande Sertão Veredas,Park,1989,94,2308.54
Parque Nacional Da Serra Da Canastra,Park,1972,84,1979.71
Parque Estadual Do Araguaiaa,Park,2001,78,2299.21
Refugio De Vida Silvestre Veredas Do Oeste Baiano,Wildlife Refuge,2002,78,1280.50
Estacao Ecologica Serra Geral Do Tocantins,Ecological Station,2001,77,7070.87
Parque Nacional Do Araguaia,Park,1959,75,5555.03
Parque Estadual Do Jalapão,Park,2001,65,1589.72
Parque Nacional Das Nascentes Do Rio Parnaiba,Park,2002,60,7497.70
Parque Estadual Do Cantão,Park,1998,60,1004.14
Parque Nacional Das Sempre Vivas,Park,2002,57,1241.56
Parque Nacional Da Chapada Das Mesas,Park,2005,46,1599.53
Estação Ecológica De Uruçuí-Una,Ecological Station,1981,41,1351.25
Noel Kempff Mercado,National Park,1979,37,16172.04
Parque Estadual Serra Ricardo Franco,Park,1997,36,1578.31
Parque Estadual Serra Santa Bárbara,Park,1997,33,1204.32
Parque Nacional Serra Das Confusões,Park,1998,27,8238.45